ids,labels,parents,,,?.?.,,?.?.,
?.?.-NLR,NLR,11-?.?.,,,???,???,???,???
?.?.-NMR,NMR,0-?.?.,,NLR,11,9,9,9
?.?.-NPR BUS,NPR BUS,0-?.?.,,NMR,0,1,0,0
?.?.-NPR,NPR,4-?.?.,,NPR BUS,0,0,1,1
?.?.-NQR,NQR,0-?.?.,,NPR,4,2,0,3
?.?.-FRR,FRR,2-?.?.,,NQR,0,0,0,0
?.?.-FTR,FTR,9-?.?.,,FRR,2,3,7,3
?.?.-FVM,FVM,1-?.?.,,FTR,9,4,3,3
?.?.-FVZ,FVZ,0-?.?.,,FVM,1,0,2,1
?.?.-FXZ,FXZ,0-?.?.,,FVZ,0,1,0,0
?.?.-FYH,FYH,1-?.?.,,FXZ,0,1,1,0
?.?.-GXZ,GXZ,0-?.?.,,FYH,1,1,0,0
?.?.-NLR,,9-?.?.,,GXZ,0,3,3,4
?.?.-NMR,,1-?.?.,,,,,,
?.?.-NPR BUS,,0-?.?.,,,,-,,
?.?.-NPR,,2-?.?.,,,,,,
?.?.-NQR,,0-?.?.,,?.?.,,,,
?.?.-FRR,,3-?.?.,,?.?.,,,,
?.?.-FTR,,4-?.?.,,??.?.,,,,
?.?.-FVM,,0-?.?.,,??.?.,,,,
?.?.-FVZ,,1-?.?.,,?.?.,,,,
?.?.-FXZ,,1-?.?.,,??.?.,,,,
?.?.-FYH,,1-?.?.,,?.?.,,,,
?.?.-GXZ,,3-?.?.,,?.?.,,,,
,,,,?.?.,,,,
,,,,?.?.,,,,
,,,,?.?.,,,,
,,,,?.?.,,,,
