ids,labels,parents
Sour-Winey,Winey,
NLR-Warming,Warming,Dry Distillation-NLR
Nut-like-Walnuts,Walnuts,Nutty-Nut-like
Chocolatey-Vanilla-like,Vanilla-like,Sugar Browning-Chocolatey
Resinous-Turpeny,Turpeny,Dry Distillation-Resinous
Malt-like-Toast,Toast,Nutty-Malt-like
Jan-Thyme,Thyme,NLR-Jan
Floral-Tea Rose,Tea Rose,Flowery-Floral
Winey-Tart,Tart,Sour-Winey
Smokey-Tarry,Tarry,Carbony-Smokey
Winey-Tangy,Tangy,Sour-Winey
Carmelly-Syrup-like,Syrup-like,Sugar Browning-Carmelly
Vanilla-like-Swiss,Swiss,Chocolatey-Vanilla-like
Dry Distillation-NLR,NLR,
Sour-Soury,Soury,
Bland-Soft,Soft,Salt-Bland
Carbony-Smokey,Smokey,Dry Distillation-Carbony
Salt-Sharp,Sharp,
Sharp-Rough,Rough,Salt-Sharp
Nut-like-Roasted Peanuts,Roasted Peanuts,Nutty-Nut-like
Candy-like-Roasted Hazelnut,Roasted Hazelnut,Carmelly-Candy-like
Candy-like-Roasted Almond,Roasted Almond,Carmelly-Candy-like
Dry Distillation-Resinous,Resinous,
Bitter-Jan,Jan,
NLR-Jan,Jan,Dry Distillation-NLR
Acidy-Piquant,Piquant,Sweet-Acidy
Smokey-Pipe Tobacco,Pipe Tobacco,Carbony-Smokey
Turpeny-Piney,Piney,Resinous-Turpeny
Jan-Phenolic,Phenolic,Bitter-Jan
Warming-Pepper,Pepper,NLR-Warming
Alliaceous-Onion,Onion,Herby-Alliaceous
Sugar Browning-Nutty,Nutty,
Nutty-Nut-like,Nut-like,Sugar Browning-Nutty
Acidy-Nippy,Nippy,Sweet-Acidy
Bland-Neutral,Neutral,Salt-Bland
Mellow-Mild,Mild,Sweet-Mellow
Sweet-Mellow,Mellow,
Resinous-Medicinal,Medicinal,Dry Distillation-Resinous
Syrup-like-Maple Syrup,Maple Syrup,Carmelly-Syrup-like
Nutty-Malt-like,Malt-like,Sugar Browning-Nutty
Citrus-Lemon,Lemon,Fruity-Citrus
Herby-Leguminous,Leguminous,Enzymatic-Herby
Syrup-like-Honey,Honey,Carmelly-Syrup-like
Enzymatic-Herby,Herby,
Bitter-Harsh,Harsh,
Soury-Hard,Hard,Sour-Soury
Alliaceous-Garlic,Garlic,Herby-Alliaceous
Leguminous-Garden Peas,Garden Peas,Herby-Leguminous
Enzymatic-Fruity,Fruity,
Flowery-Fragrant,Fragrant,Enzymatic-Flowery
Enzymatic-Flowery,Flowery,
Flowery-Floral,Floral,Enzymatic-Flowery
Mellow-Delicate,Delicate,Sweet-Mellow
Chocolate-like-Dark Chocolate,Dark Chocolate,Chocolatey-Chocolate-like
Leguminous-Cucumber,Cucumber,Herby-Leguminous
Jan-Creosol,Creosol,Bitter-Jan
Fragrant-Coriander Seeds,Coriander Seeds,Flowery-Fragrant
Floral-Coffee Blossom,Coffee Blossom,Flowery-Floral
Jan-Clove,Clove,NLR-Jan
Fruity-Citrus,Citrus,Enzymatic-Fruity
Medicinal-Cineolic,Cineolic,Resinous-Medicinal
Sugar Browning-Chocolatey,Chocolatey,
Chocolatey-Chocolate-like,Chocolate-like,Sugar Browning-Chocolatey
Ashy-Charred,Charred,Carbony-Ashy
Warming-Cedar,Cedar,NLR-Warming
Harsh-Caustic,Caustic,Bitter-Harsh
Sugar Browning-Carmelly,Carmelly,
Fragrant-Cardamon Caraway,Cardamon Caraway,Flowery-Fragrant
Dry Distillation-Carbony,Carbony,
Carmelly-Candy-like,Candy-like,Sugar Browning-Carmelly
Medicinal-Camphoric,Camphoric,Resinous-Medicinal
Vanilla-like-Butter,Butter,Chocolatey-Vanilla-like
Ashy-Burnt,Burnt,Carbony-Ashy
Salt-Bland,Bland,
Turpeny-Blackcurrant-like,Blackcurrant-like,Resinous-Turpeny
Berry-like-Blackberry,Blackberry,Fruity-Berry-like
Fruity-Berry-like,Berry-like,Enzymatic-Fruity
Malt-like-Balsamic Rice,Balsamic Rice,Nutty-Malt-like
Chocolate-like-Bakers,Bakers,Chocolatey-Chocolate-like
Sharp-Astringent,Astringent,Salt-Sharp
Carbony-Ashy,Ashy,Dry Distillation-Carbony
Berry-like-Apricot,Apricot,Fruity-Berry-like
Citrus-Apple,Apple,Fruity-Citrus
Herby-Alliaceous,Alliaceous,Enzymatic-Herby
Harsh-Alkaline,Alkaline,Bitter-Harsh
Soury-Acrid,Acrid,Sour-Soury
Sweet-Acidy,Acidy,
